Title	Season	Producer	Singer	Date	Dislike	Like	View	URL	LD-Ratio
Kangna	4	Rohail Hyaat	"Fareed Ayaz, Abu Muhammad"	" Jun 2, 2011"	667	"19,223"	"3,085,498 views"	https://www.youtube.com/watch?v=BXmIpbBOSvI	0.034698018
Ni Oothaan Waale	4	Rohail Hyaat	Attaullah Khan Esakhelvi	" Jun 4, 2011"	638	"15,232"	"3,173,347 views"	https://www.youtube.com/watch?v=55-ExedKAr0	0.041885504
Baageshri	4	Rohail Hyaat	Mole	" Jun 16, 2011"	28	813	"147,248 views"	https://www.youtube.com/watch?v=8RXhJS-JSK8	0.034440344
Ith Naheen	4	Rohail Hyaat	Sanam Marvi	" Jun 16, 2011"	68	"2,818"	"441,928 views"	https://www.youtube.com/watch?v=eYKtKRRyf9Y	0.024130589
Panchi	4	Rohail Hyaat	"Jal, QB"	" Jun 16, 2011"	420	"16,526"	"3,395,128 views"	https://www.youtube.com/watch?v=4HCdGGag3no	0.025414498
Mundari	4	Rohail Hyaat	Ustaad Naseer-ud-din Shaami	" Jun 17, 2011"	125	"5,215"	"842,304 views"	https://www.youtube.com/watch?v=5IMHuCKp9TA	0.023969319
Lamha	4	Rohail Hyaat	Bilal Khan	" Jun 17, 2011"	123	"4,615"	"1,114,230 views"	https://www.youtube.com/watch?v=ri-4kVH7MOE	0.026652221
Rang Laaga	4	Rohail Hyaat	"Sajjad Ali, Sanam Marvi"	" Jul 1, 2011"	107	"4,074"	"593,297 views"	https://www.youtube.com/watch?v=Kpczer35yBQ	0.026264114
Pyaar Naal	4	Rohail Hyaat	Attaullah Khan Esakhelvi	" Jul 1, 2011"	"2,589"	"48,557"	"8,763,489 views"	https://www.youtube.com/watch?v=oRoDbwoeBcQ	0.05331878
Nar Bait	4	Rohail Hyaat	Akhtar Channal	" Jul 1, 2011"	195	"4,020"	"809,280 views"	https://www.youtube.com/watch?v=G4AJ_7WiDTc	0.048507463
Mandh Waai	4	Rohail Hyaat	The Sketches	" Jul 1, 2011"	66	"2,681"	"413,533 views"	https://www.youtube.com/watch?v=srM3sc7XvcQ	0.02461768
Beero Binjaaro	4	Rohail Hyaat	Asif Hussain Samraat	" Jul 15, 2011"	33	"1,282"	"183,013 views"	https://www.youtube.com/watch?v=7vS3EL0DBGQ	0.02574103
Mori Bangri	4	Rohail Hyaat	"Fareed Ayaz, Abu Muhammad"	" Jul 15, 2011"	50	"2,386"	"340,179 views"	https://www.youtube.com/watch?v=NymD_xFRQQ8	0.020955574
Special Feature	4	Rohail Hyaat	HouseBand	" Jul 16, 2011"	8	411	"59,693 views"	https://www.youtube.com/watch?v=0nzsfg3nTnY	0.01946472
Paisay Da Nasha	5	Rohail Hyaat	Bohemia	" May 12, 2012"	731	"26,171"	"3,309,245 views"	https://www.youtube.com/watch?v=rQXpskfqZho	0.02793168
Tum Kaho	5	Rohail Hyaat	SYMT	" May 12, 2012"	80	"1,978"	"483,048 views"	https://www.youtube.com/watch?v=k4iI6ccj6mw	0.040444894
Kamlee	5	Rohail Hyaat	Hadiqa Kiani	" May 12, 2012"	587	"12,215"	"2,802,421 views"	https://www.youtube.com/watch?v=9oGSq6iGSjQ	0.048055669
Larsha Pekhawar	5	Rohail Hyaat	Hamayoon Khan	" May 12, 2012"	356	"9,736"	"1,613,868 views"	https://www.youtube.com/watch?v=iwb793n2kDs	0.036565325
Charkha Nolakha	5	Rohail Hyaat	"Atif Aslam,Qayaas"	" May 12, 2012"	691	"19,291"	"4,079,748 views"	https://www.youtube.com/watch?v=y8qU0VcbhBY	0.035819812
Ishq Aap Bhe Awalla	5	Rohail Hyaat	"Meesha Shafi, Chakwal Group"	" May 23, 2012"	29	862	"350,120 views"	https://www.youtube.com/watch?v=udazbrgtgvw	0.033642691
Larho Mujhey	5	Rohail Hyaat	Bilal Khan	" May 26, 2012"	740	"21,671"	"2,567,122 views"	https://www.youtube.com/watch?v=SUqRXjCM8Gg	0.034147017
Ishq Aap Bhe Awalla	5	Rohail Hyaat	"Hadiqa Kiani, Chakwal Group"	" May 26, 2012"	"2,449"	"41,965"	"12,275,547 views"	https://www.youtube.com/watch?v=j52tXsEbcQM	0.058358156
Pere Pavandi Saan	5	Rohail Hyaat	Mithu Tahir	" May 26, 2012"	231	"8,579"	"1,274,698 views"	https://www.youtube.com/watch?v=fCP8uv9v0yI	0.026926215
Khabaram Raseeda	5	Rohail Hyaat	"Fareed Ayaz, Abu Muhammad"	" May 26, 2012"	145	"6,743"	"1,074,185 views"	https://www.youtube.com/watch?v=qYFwzGZcidk	0.021503782
Rabba Sacheya	5	Rohail Hyaat	Atif Aslam	" May 26, 2012"	386	"9,506"	"1,973,819 views"	https://www.youtube.com/watch?v=I8_jTmPX0gM	0.040605933
School Di Kitaab	5	Rohail Hyaat	Bohemia	" Jun 9, 2012"	"2,692"	"67,147"	"7,844,189 views"	https://www.youtube.com/watch?v=e1ZUQoRyhi4	0.040091143
Taaray	5	Rohail Hyaat	Bilal Khan	" Jun 9, 2012"	84	"1,262"	"264,530 views"	https://www.youtube.com/watch?v=QdPhAT5HO0o	0.066561014
Nindiya Ke Paar	5	Rohail Hyaat	Uzair Jaswal	" Jun 9, 2012"	325	"14,738"	"2,461,453 views"	https://www.youtube.com/watch?v=82YpVrSwUmQ	0.022051839
